RX 7800XT 16GB,Sapphire RR 7800XT 16GB,437,https://m.media-amazon.com/images/I/81LrgyAxfmL.__AC_SY300_SX300_QL70_ML2_.jpg,https://amzn.to/41e49q7
RAM Corsair Vengeance 32GB,DDR5 6000MHz CL36,94,https://m.media-amazon.com/images/I/61T907b5OaL.jpg,https://amzn.to/42LvMYN
YUNZII B98 Tastiera meccanica Wireless,Descrizioncina questa é per Ale,66,https://m.media-amazon.com/images/I/71mEvP4tDDL._AC_SL1500_.jpg,https://amzn.to/4juj1Yr
Processore AMD Ryzen 5 5600X,Descrizione Processore,136,https://www.amd.com/content/dam/amd/en/images/products/processors/ryzen/2505503-ryzen-5-5600x.jpg,https://amzn.to/3PCRJBo
Scheda Madre GIGABYTE B650 Eagle AX,Descrizione Scheda Madre,135,https://www.gigabyte.com/FileUpload/Global/KeyFeature/3563/innergigabyteimages/kf-img.png,https://amzn.to/4akpgcV
RAM CORSAIR VENGEANCE DDR5 32GB (2x16GB) DDR5 6000MHz CL30,descrizione RAM,109,https://m.media-amazon.com/images/I/61T907b5OaL.jpg,https://amzn.to/4gSweZr
